"filename", "language", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\AddressInfo.jsx", "JavaScript JSX", 94, 0, 0, 10, 104
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\AddressInfoModal.jsx", "JavaScript JSX", 35, 0, 3, 4, 42
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\AddressList.jsx", "JavaScript JSX", 92, 0, 0, 8, 100
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\Checkout.jsx", "JavaScript JSX", 120, 0, 0, 11, 131
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\DeleteModal.jsx", "JavaScript JSX", 81, 0, 0, 2, 83
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\OrderSummary.jsx", "JavaScript JSX", 92, 0, 0, 4, 96
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\PaymentConfirmation.jsx", "JavaScript JSX", 66, 0, 0, 7, 73
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\PaymentForm.jsx", "JavaScript JSX", 58, 0, 0, 10, 68
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\PaymentMethod.jsx", "JavaScript JSX", 56, 0, 0, 6, 62
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\PaypalPayment.jsx", "JavaScript JSX", 13, 0, 0, 3, 16
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\checkout\StripePayment.jsx", "JavaScript JSX", 51, 0, 0, 7, 58
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\helper\tableColumn.jsx", "JavaScript JSX", 344, 0, 11, 9, 364
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\home\Home.jsx", "JavaScript JSX", 44, 0, 0, 7, 51
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\products\Filter.jsx", "JavaScript JSX", 125, 0, 11, 14, 150
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\products\Products.jsx", "JavaScript JSX", 49, 0, 0, 8, 57
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\DeleteModal.jsx", "JavaScript JSX", 82, 0, 0, 4, 86
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\ErrorPage.jsx", "JavaScript JSX", 13, 0, 0, 3, 16
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\InputField.jsx", "JavaScript JSX", 61, 0, 0, 2, 63
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Loader.jsx", "JavaScript JSX", 21, 0, 11, 3, 35
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Modal.jsx", "JavaScript JSX", 55, 0, 0, 4, 59
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Navbar.jsx", "JavaScript JSX", 131, 0, 0, 10, 141
"e:\file_tai_lieu\Course\do_an_tot_nghiep\do_an_tot_nghiep_main_folder\Laptopshop-ecommerce-project-thesis\frontend\src\components\shared\Paginations.jsx", "JavaScript JSX", 29, 0, 0, 5, 34
